ID	YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
00d02c8d-5b95-4145-e7ca-4bfdf10d57b6	торжественный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">торжественный</div><div class="line_2">['solemn', 'gala', 'ceremonial', 'festive', 'state', 'sacramental']</div><div class="line_1">серьезный</div><div class="line_2">['serious', 'severe', 'grave', 'earnest', 'strong', 'solemn']</div><div class="line_1">важный</div><div class="line_2">['important', 'great', 'significant', 'big', 'momentous', 'solemn']</div></div>	solemn	ˈsäləm	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">formal and dignified.</div><div class="line_2">a solemn procession</div></div>	
00dba3a3-66a8-5303-69b8-f29ff1915434	подхалимство	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">лесть</div><div class="line_2">['flattery', 'adulation', 'sycophancy', 'cajolery', 'palaver', 'taffy']</div><div class="line_1">низкопоклонство</div><div class="line_2">['adulation', 'cringing', 'sycophancy', 'obsequiousness', 'grovel', 'toad-eating']</div></div>	sycophancy	ˈsikəˌfan(t)sē	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">obsequious behavior toward someone important in order to gain advantage.</div><div class="line_2">your fawning sycophancy is nauseating</div></div>	
02663b05-fac4-f934-f366-347355a0aba7	безмятежный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">спокойный</div><div class="line_2">['calm', 'quiet', 'tranquil', 'peaceful', 'easy', 'placid']</div><div class="line_1">безмятежный</div><div class="line_2">['serene', 'halcyon', 'placid', 'impassive']</div><div class="line_1">благодушный</div><div class="line_2">['complacent', 'placid', 'placable']</div></div>	placid	ˈplasəd	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">(of a person or animal) not easily upset or excited.</div><div class="line_2">this horse has a placid nature</div></div>	
034cd719-9fcd-e1a0-7926-4dccaabcf5ab	шумный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">неистовый</div><div class="line_2">['violent', 'outrageous', 'frantic', 'frenetic', 'berserk', 'boisterous']</div><div class="line_1">бурный</div><div class="line_2">['stormy', 'turbulent', 'rough', 'rugged', 'tempestuous', 'boisterous']</div><div class="line_1">шумливый</div><div class="line_2">['noisy', 'boisterous', 'riotous', 'romping', 'loud', 'blustery']</div></div>	boisterous	ˈboist(ə)rəs	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">(of a person, event, or behavior) noisy, energetic, and cheerful; rowdy.</div><div class="line_2">the boisterous conviviality associated with taverns of that period</div></div>	
03699c01-6654-94fc-63f8-72828de6cb88	аккуратно		punctiliously			
045980e9-7c3e-5a6f-15b8-440ba17ffe30	разгромить	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">разгромить</div><div class="line_2">['smash', 'rout', 'hammer', 'crucify', 'blitz', 'smear']</div><div class="line_1">выкапывать</div><div class="line_2">['dig', 'scoop', 'dig out', 'excavate', 'scrape out', 'rout']</div><div class="line_1">обращать в бегство</div><div class="line_2">['rout']</div><div class="speechpart">Имя Существительное</div><div class="line_1">разгром</div><div class="line_2">['defeat', 'rout', 'debacle', 'smash', 'walloping']</div><div class="line_1">раут</div><div class="line_2">['rout', 'crush']</div><div class="line_1">поражение</div><div class="line_2">['defeat', 'lesion', 'beating', 'drubbing', 'reverse', 'rout']</div></div>	rout	rout	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a disorderly retreat of defeated troops.</div><div class="line_2">the retreat degenerated into a rout</div><div class="line_1">an assembly of people who have made a move toward committing an illegal act which would constitute an offense of riot.</div><div class="line_1">a large evening party or reception.</div><div class="speechpart">Глагол</div><div class="line_1">defeat and cause to retreat in disorder.</div><div class="line_2">in a matter of minutes the attackers were routed</div><div class="line_1">cut a groove, or any pattern not extending to the edges, in (a wooden or metal surface).</div><div class="line_2">you routed each plank all along its length</div></div>	
049e898a-a987-c792-6b53-0f73458bcb42	уступать	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">уступать</div><div class="line_2">['give', 'concede', 'give in', 'yield', 'give way', 'cede']</div><div class="line_1">передавать</div><div class="line_2">['pass', 'transmit', 'transfer', 'send', 'convey', 'cede']</div><div class="line_1">сдавать</div><div class="line_2">['hand over', 'surrender', 'pass', 'turn in', 'deliver', 'cede']</div></div>	cede	sēd	<div class="definitions"><div class="speechpart">Глагол</div><div class="line_1">give up (power or territory).</div><div class="line_2">he ceded control of the company to his brother</div></div>	
04c41ba5-3bb2-128c-1401-cde922e9b177	говорил	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">спица</div><div class="line_2">['spoke', 'needle', 'knitting needle', 'arm']</div><div class="line_1">ступенька</div><div class="line_2">['step', 'stair', 'footstep', 'spoke', 'footboard', 'pace']</div><div class="line_1">перекладина</div><div class="line_2">['crossbar', 'beam', 'horizontal bar', 'rail', 'slat', 'spoke']</div><div class="speechpart">Глагол</div><div class="line_1">снабжать спицами</div><div class="line_2">['spoke']</div></div>	spoke	spōk	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">each of the bars or wire rods connecting the center of a wheel to its outer edge.</div><div class="speechpart">Глагол</div><div class="line_1">past of speak.</div></div>	
0536fe4c-9ed7-bf13-d778-38ab80bf2448	опасающийся	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">опасающийся</div><div class="line_2">['apprehensive']</div><div class="line_1">полный страха</div><div class="line_2">['fearful', 'apprehensive']</div><div class="line_1">боязливый</div><div class="line_2">['timid', 'apprehensive', 'spooky', 'nervous', 'spookish', 'pavid']</div></div>	apprehensive	ˌaprəˈhensiv	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">anxious or fearful that something bad or unpleasant will happen.</div><div class="line_2">he felt apprehensive about going home</div><div class="line_1">relating to perception or understanding.</div></div>	
05582aca-2516-2db3-a2c6-722e3c456934	постоянно	<div class="synonyms"><div class="speechpart">Наречие</div><div class="line_1">непрерывно</div><div class="line_2">['permanently', 'incessantly', 'together']</div><div class="line_1">беспрестанно</div><div class="line_2">['continually', 'incessantly', 'forever', 'relentlessly', 'for ever and ever', 'over and over again']</div><div class="line_1">без умолку</div><div class="line_2">['incessantly', 'without stopping']</div></div>	incessantly	inˈsesəntlē	<div class="definitions"><div class="speechpart">Наречие</div><div class="line_1">without interruption; constantly.</div><div class="line_2">she talked about him incessantly</div></div>	
06099238-2396-5c19-0295-d9d7111e484e	громоздкий	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">громоздкий</div><div class="line_2">['bulky', 'cumbersome', 'unwieldy', 'ponderous', 'cumbrous']</div><div class="line_1">обременительный</div><div class="line_2">['burdensome', 'onerous', 'cumbersome', 'heavy', 'vexatious', 'weighty']</div><div class="line_1">нескладной</div><div class="line_2">['cumbersome', 'cumbrous']</div></div>	cumbersome	ˈkəmbərsəm	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">large or heavy and therefore difficult to carry or use; unwieldy.</div><div class="line_2">cumbersome diving suits</div></div>	
